API Source,Category,Data Type,Endpoint,Description,Parameters,Free Tier,Data Fields,Frequency,Use Cases
Alpha Vantage,Technical Indicators,ADX,/api/alphavantage/technical-adx,Average Directional Index,"symbol, interval, time_period",Yes (25 calls/day),"timestamp, ADX",Calculated,"Trend strength, directional movement, filter"
Alpha Vantage,Commodities,Crude Oil (WTI),/api/alphavantage/commodity,WTI Crude Oil Prices,"commodity=WTI, interval",Yes (25 calls/day),"date, value",Daily/Weekly/Monthly,"Energy sector analysis, inflation indicators, macro trends"
Alpha Vantage,Commodities,Natural Gas,/api/alphavantage/commodity,Natural Gas Prices,"commodity=NATURAL_GAS, interval",Yes (25 calls/day),"date, value",Daily/Weekly/Monthly,"Energy markets, seasonal patterns, utility sector"
Alpha Vantage,Commodities,Copper,/api/alphavantage/commodity,Copper Prices,"commodity=COPPER, interval",Yes (25 calls/day),"date, value",Monthly,"Economic indicator, industrial demand, China proxy"
Alpha Vantage,Forex,Currency Exchange,/api/alphavantage/forex-rate,Real-time forex exchange rates,"from_currency, to_currency",Yes (25 calls/day),"from_currency_code, to_currency_code, exchange_rate, last_refreshed, time_zone, bid_price, ask_price",Real-time,"Currency hedging, international investing, FX trading"
Alpha Vantage,Crypto,Cryptocurrency,/api/alphavantage/crypto-rate,Cryptocurrency exchange rates,"symbol, market",Yes (25 calls/day),"symbol, price, market_cap, volume_24h, change_24h",Real-time,"Crypto portfolio, digital assets, alternative investments"
FMP,Market Data,Stock Quote,/api/fmp/quote,Real-time stock quotes (stable API - free tier),symbol,Limited (250 calls/day - 87 symbols),"price, changesPercentage, change, dayLow, dayHigh, yearHigh, yearLow, marketCap, priceAvg50, priceAvg200, exchange, volume, avgVolume, open, previousClose, eps, pe, earningsAnnouncement, sharesOutstanding, timestamp",Real-time,"Price monitoring, portfolio tracking, free tier quotes"
FMP,Company Data,Company Profile,/api/fmp/profile,Comprehensive company information,symbol,Premium Required,"symbol, price, beta, volAvg, mktCap, lastDiv, range, changes, companyName, currency, cik, isin, cusip, exchange, exchangeShortName, industry, website, description, ceo, sector, country, fullTimeEmployees, phone, address, city, state, zip, dcfDiff, dcf, image, ipoDate, defaultImage, isEtf, isActivelyTrading, isAdr, isFund",Static/Updated,"Deep company research, industry analysis, management info"
FMP,Fundamentals,Income Statement,/api/fmp/income-statement,Detailed income statements,"symbol, period, limit",Premium Required,"date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil",Quarterly/Annual,"Profitability deep dive, margin analysis, expense trends"
FMP,Fundamentals,Balance Sheet,/api/fmp/balance-sheet,Detailed balance sheets,"symbol, period, limit",Premium Required,"date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt",Quarterly/Annual,"Financial position, debt analysis, working capital, asset quality"
FMP,Fundamentals,Cash Flow,/api/fmp/cash-flow,Detailed cash flow statements,"symbol, period, limit",Premium Required,"date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow",Quarterly/Annual,"Cash generation, capex efficiency, FCF yield, dividend coverage"
FMP,Fundamentals,Financial Ratios,/api/fmp/ratios,Comprehensive financial ratios,"symbol, period, limit",Premium Required,"dividendYielTTM, dividendYielPercentageTTM, peRatioTTM, pegRatioTTM, payoutRatioTTM, currentRatioTTM, quickRatioTTM, cashRatioTTM, daysOfSalesOutstandingTTM, daysOfInventoryOutstandingTTM, operatingCycleTTM, daysOfPayablesOutstandingTTM, cashConversionCycleTTM, grossProfitMarginTTM, operatingProfitMarginTTM, pretaxProfitMarginTTM, netProfitMarginTTM, effectiveTaxRateTTM, returnOnAssetsTTM, returnOnEquityTTM, returnOnCapitalEmployedTTM, netIncomePerEBTTTM, ebtPerEbitTTM, ebitPerRevenueTTM, debtRatioTTM, debtEquityRatioTTM, longTermDebtToCapitalizationTTM, totalDebtToCapitalizationTTM, interestCoverageTTM, cashFlowToDebtRatioTTM, companyEquityMultiplierTTM, receivablesTurnoverTTM, payablesTurnoverTTM, inventoryTurnoverTTM, fixedAssetTurnoverTTM, assetTurnoverTTM, operatingCashFlowPerShareTTM, freeCashFlowPerShareTTM, cashPerShareTTM, operatingCashFlowSalesRatioTTM, freeCashFlowOperatingCashFlowRatioTTM, cashFlowCoverageRatiosTTM, shortTermCoverageRatiosTTM, capitalExpenditureCoverageRatioTTM, dividendPaidAndCapexCoverageRatioTTM, priceBookValueRatioTTM, priceToBookRatioTTM, priceToSalesRatioTTM, priceEarningsRatioTTM, priceToFreeCashFlowsRatioTTM, priceToOperatingCashFlowsRatioTTM, priceCashFlowRatioTTM, priceEarningsToGrowthRatioTTM, priceSalesRatioTTM, dividendYieldTTM, enterpriseValueMultipleTTM, priceFairValueTTM",TTM/Quarterly/Annual,"Ratio analysis, peer comparison, screening, valuation multiples"
FMP,Fundamentals,Key Metrics,/api/fmp/key-metrics,Key performance metrics and multiples,"symbol, period, limit",Premium Required,"revenuePerShareTTM, netIncomePerShareTTM, operatingCashFlowPerShareTTM, freeCashFlowPerShareTTM, cashPerShareTTM, bookValuePerShareTTM, tangibleBookValuePerShareTTM, shareholdersEquityPerShareTTM, interestDebtPerShareTTM, marketCapTTM, enterpriseValueTTM, peRatioTTM, priceToSalesRatioTTM, pocfratioTTM, pfcfRatioTTM, pbRatioTTM, ptbRatioTTM, evToSalesTTM, enterpriseValueOverEBITDATTM, evToOperatingCashFlowTTM, evToFreeCashFlowTTM, earningsYieldTTM, freeCashFlowYieldTTM, debtToEquityTTM, debtToAssetsTTM, netDebtToEBITDATTM, currentRatioTTM, interestCoverageTTM, incomeQualityTTM, dividendYieldTTM, payoutRatioTTM, salesGeneralAndAdministrativeToRevenueTTM, researchAndDdevelopementToRevenueTTM, intangiblesToTotalAssetsTTM, capexToOperatingCashFlowTTM, capexToRevenueTTM, capexToDepreciationTTM, stockBasedCompensationToRevenueTTM, grahamNumberTTM, roicTTM, returnOnTangibleAssetsTTM, grahamNetNetTTM, workingCapitalTTM, tangibleAssetValueTTM, netCurrentAssetValueTTM, investedCapitalTTM, averageReceivablesTTM, averagePayablesTTM, averageInventoryTTM, daysSalesOutstandingTTM, daysPayablesOutstandingTTM, daysOfInventoryOnHandTTM, receivablesTurnoverTTM, payablesTurnoverTTM, inventoryTurnoverTTM, roeTTM, capexPerShareTTM",TTM/Quarterly/Annual,"KPI tracking, valuation screening, performance monitoring"
FMP,Historical Data,Historical Prices,/api/fmp/historical-price,Historical daily prices with dividends/splits,"symbol, from, to",Premium Required,"date, open, high, low, close, adjClose, volume, unadjustedVolume, change, changePercent, vwap, label, changeOverTime",Daily,"Backtesting, technical analysis, return calculations"
FMP,News,Company News,/api/fmp/news,Recent news articles,"symbol, limit",Premium Required,"symbol, publishedDate, title, image, site, text, url",Real-time,"News monitoring, event detection, sentiment input"
FMP,Analyst Data,Analyst Estimates,/api/fmp/analyst-estimates,Consensus analyst estimates,"symbol, period, limit",Premium Required,"symbol, date, estimatedRevenueLow, estimatedRevenueHigh, estimatedRevenueAvg, estimatedEbitdaLow, estimatedEbitdaHigh, estimatedEbitdaAvg, estimatedEbitLow, estimatedEbitHigh, estimatedEbitAvg, estimatedNetIncomeLow, estimatedNetIncomeHigh, estimatedNetIncomeAvg, estimatedSgaExpenseLow, estimatedSgaExpenseHigh, estimatedSgaExpenseAvg, estimatedEpsAvg, estimatedEpsHigh, estimatedEpsLow, numberAnalystEstimatedRevenue, numberAnalystsEstimatedEps",Quarterly/Annual,"Consensus tracking, estimate revisions, beat/miss predictions"
FMP,Analyst Data,Price Targets,/api/fmp/price-target,Analyst price targets and recommendations,symbol,Premium Required,"symbol, publishedDate, newsURL, newsTitle, analystName, priceTarget, adjPriceTarget, priceWhenPosted, newsPublisher, newsBaseURL, analystCompany",Real-time,"Analyst sentiment, target price changes, upgrade/downgrade"
FMP,Analyst Data,Upgrades/Downgrades,/api/fmp/upgrades-downgrades,Analyst rating changes,symbol,Premium Required,"symbol, publishedDate, newsURL, newsTitle, newGrade, previousGrade, gradingCompany, action",Real-time,"Rating momentum, analyst activity, market reaction"
FMP,Analyst Data,Earning Surprises,/api/fmp/earning-surprises,Historical earnings surprises,symbol,Premium Required,"date, symbol, actualEarningResult, estimatedEarning",Quarterly,"Surprise analysis, estimate accuracy, earnings momentum"
FMP,Corporate Events,Earnings Calendar,/api/fmp/earnings-calendar,Comprehensive earnings calendar,"from, to",Premium Required,"date, symbol, eps, epsEstimated, time, revenue, revenueEstimated, fiscalDateEnding, updatedFromDate",Daily,"Earnings planning, event calendar, portfolio monitoring"
FMP,Corporate Events,IPO Calendar,/api/fmp/ipo-calendar,IPO schedule and pricing,"from, to",Premium Required,"date, company, symbol, exchange, actions, shares, priceRange, marketCap",Daily/Weekly,"IPO investing, new listing tracking, primary market"
FMP,Corporate Events,Dividend Calendar,/api/fmp/dividend-calendar,Dividend payment schedule,"from, to",Premium Required,"date, label, adjDividend, symbol, dividend, recordDate, paymentDate, declarationDate",Daily,"Dividend capture, income investing, ex-dividend dates"
FMP,Corporate Events,Stock Split Calendar,/api/fmp/stock-split-calendar,Stock split announcements,"from, to",Premium Required,"date, label, symbol, numerator, denominator",As Announced,"Corporate actions, share structure changes, price adjustments"
FMP,Economic Data,Economic Calendar,/api/fmp/economic-calendar,Macro economic event calendar,"from, to",Premium Required,"event, date, country, actual, previous, change, changePercentage, estimate, impact",Daily,"Macro analysis, event-driven trading, economic indicators"
FMP,Insider Trading,Insider Trading,/api/fmp/insider-trading,Insider buy/sell transactions,"symbol, limit",Premium Required,"symbol, filingDate, transactionDate, reportingName, transactionType, securitiesOwned, securitiesTransacted, price, securityName, acquistionOrDisposition, formType, link",Real-time,"Insider sentiment, management confidence, early warning"
FMP,Government Trading,Senate Trading,/api/fmp/senate-trading,Congressional trading disclosure,symbol,Premium Required,"firstName, lastName, office, disclosureDate, transactionDate, owner, assetDescription, assetName, type, amount, comment, symbol",Real-time,"Political trading, conflict of interest, alternative signal"
FMP,Ownership,Institutional Holders,/api/fmp/institutional-holder,Institutional ownership data,symbol,Premium Required,"holder, shares, dateReported, change, link",Quarterly,"Smart money tracking, ownership concentration, holder changes"
FMP,Ownership,ETF Holders,/api/fmp/etf-holder,ETF holdings of a stock,symbol,Premium Required,"asset, name, symbol, etfSymbol, etfName, sharesNumber, weightPercentage, marketValue, updatedDate",Quarterly,"ETF exposure, passive ownership, index inclusion"
FMP,SEC Filings,SEC Filings,/api/fmp/sec-filings,"Access to SEC filings by type","symbol, type, limit",Premium Required,"symbol, cik, title, acceptanceDateTime, filingDate, reportDate, form, fileNumber, link, finalLink",Real-time,"Regulatory research, filing analysis, document retrieval"
FMP,Market Performance,Top Gainers,/api/fmp/gainers,Daily top gaining stocks,N/A,Premium Required,"symbol, name, change, price, changesPercentage",Daily,"Market movers, momentum screening, daily leaders"
FMP,Market Performance,Top Losers,/api/fmp/losers,Daily worst performing stocks,N/A,Premium Required,"symbol, name, change, price, changesPercentage",Daily,"Market laggards, contrarian opportunities, risk monitoring"
FMP,Market Performance,Most Active,/api/fmp/most-active,Highest volume stocks,N/A,Premium Required,"symbol, name, change, price, changesPercentage",Daily,"Volume leaders, liquidity screening, unusual activity"
FMP,Market Performance,Sector Performance,/api/fmp/sector-performance,Real-time sector performance,N/A,Premium Required,"sector, changesPercentage",Real-time,"Sector rotation, relative strength, market breadth"
FMP,Valuation,DCF Valuation,/api/fmp/dcf,Discounted cash flow valuation,symbol,Premium Required,"symbol, date, dcf, Stock Price",Daily,"Intrinsic value, fair value estimation, valuation model"
FMP,Market Data,Market Capitalization,/api/fmp/market-cap,Current market capitalization,symbol,Premium Required,"symbol, marketCap, date",Real-time,"Size classification, market cap screening, index eligibility"
